metric,polarity,bin_start,bin_end,count
peak_count,pos,1.00000000,11.88333333,43498
peak_count,pos,11.88333333,22.76666667,152528
peak_count,pos,22.76666667,33.65000000,132630
peak_count,pos,33.65000000,44.53333333,117453
peak_count,pos,44.53333333,55.41666667,105353
peak_count,pos,55.41666667,66.30000000,95384
peak_count,pos,66.30000000,77.18333333,81936
peak_count,pos,77.18333333,88.06666667,64979
peak_count,pos,88.06666667,98.95000000,41259
peak_count,pos,98.95000000,109.83333333,29485
peak_count,pos,109.83333333,120.71666667,17468
peak_count,pos,120.71666667,131.60000000,10230
peak_count,pos,131.60000000,142.48333333,5824
peak_count,pos,142.48333333,153.36666667,3466
peak_count,pos,153.36666667,164.25000000,2082
peak_count,pos,164.25000000,175.13333333,1109
peak_count,pos,175.13333333,186.01666667,663
peak_count,pos,186.01666667,196.90000000,354
peak_count,pos,196.90000000,207.78333333,243
peak_count,pos,207.78333333,218.66666667,178
peak_count,pos,218.66666667,229.55000000,100
peak_count,pos,229.55000000,240.43333333,84
peak_count,pos,240.43333333,251.31666667,58
peak_count,pos,251.31666667,262.20000000,42
peak_count,pos,262.20000000,273.08333333,28
peak_count,pos,273.08333333,283.96666667,20
peak_count,pos,283.96666667,294.85000000,8
peak_count,pos,294.85000000,305.73333333,15
peak_count,pos,305.73333333,316.61666667,13
peak_count,pos,316.61666667,327.50000000,2
peak_count,pos,327.50000000,338.38333333,4
peak_count,pos,338.38333333,349.26666667,5
peak_count,pos,349.26666667,360.15000000,0
peak_count,pos,360.15000000,371.03333333,2
peak_count,pos,371.03333333,381.91666667,2
peak_count,pos,381.91666667,392.80000000,1
peak_count,pos,392.80000000,403.68333333,0
peak_count,pos,403.68333333,414.56666667,1
peak_count,pos,414.56666667,425.45000000,1
peak_count,pos,425.45000000,436.33333333,0
peak_count,pos,436.33333333,447.21666667,0
peak_count,pos,447.21666667,458.10000000,0
peak_count,pos,458.10000000,468.98333333,0
peak_count,pos,468.98333333,479.86666667,0
peak_count,pos,479.86666667,490.75000000,0
peak_count,pos,490.75000000,501.63333333,0
peak_count,pos,501.63333333,512.51666667,0
peak_count,pos,512.51666667,523.40000000,0
peak_count,pos,523.40000000,534.28333333,0
peak_count,pos,534.28333333,545.16666667,0
peak_count,pos,545.16666667,556.05000000,0
peak_count,pos,556.05000000,566.93333333,0
peak_count,pos,566.93333333,577.81666667,0
peak_count,pos,577.81666667,588.70000000,0
peak_count,pos,588.70000000,599.58333333,0
peak_count,pos,599.58333333,610.46666667,0
peak_count,pos,610.46666667,621.35000000,0
peak_count,pos,621.35000000,632.23333333,0
peak_count,pos,632.23333333,643.11666667,0
peak_count,pos,643.11666667,654.00000000,1
peak_count,neg,1.00000000,11.88333333,31288
peak_count,neg,11.88333333,22.76666667,192401
peak_count,neg,22.76666667,33.65000000,154496
peak_count,neg,33.65000000,44.53333333,82668
peak_count,neg,44.53333333,55.41666667,36368
peak_count,neg,55.41666667,66.30000000,15579
peak_count,neg,66.30000000,77.18333333,6433
peak_count,neg,77.18333333,88.06666667,2898
peak_count,neg,88.06666667,98.95000000,1222
peak_count,neg,98.95000000,109.83333333,659
peak_count,neg,109.83333333,120.71666667,356
peak_count,neg,120.71666667,131.60000000,182
peak_count,neg,131.60000000,142.48333333,87
peak_count,neg,142.48333333,153.36666667,47
peak_count,neg,153.36666667,164.25000000,36
peak_count,neg,164.25000000,175.13333333,24
peak_count,neg,175.13333333,186.01666667,9
peak_count,neg,186.01666667,196.90000000,4
peak_count,neg,196.90000000,207.78333333,8
peak_count,neg,207.78333333,218.66666667,6
peak_count,neg,218.66666667,229.55000000,6
peak_count,neg,229.55000000,240.43333333,3
peak_count,neg,240.43333333,251.31666667,6
peak_count,neg,251.31666667,262.20000000,2
peak_count,neg,262.20000000,273.08333333,1
peak_count,neg,273.08333333,283.96666667,1
peak_count,neg,283.96666667,294.85000000,0
peak_count,neg,294.85000000,305.73333333,2
peak_count,neg,305.73333333,316.61666667,2
peak_count,neg,316.61666667,327.50000000,0
peak_count,neg,327.50000000,338.38333333,0
peak_count,neg,338.38333333,349.26666667,0
peak_count,neg,349.26666667,360.15000000,0
peak_count,neg,360.15000000,371.03333333,0
peak_count,neg,371.03333333,381.91666667,0
peak_count,neg,381.91666667,392.80000000,0
peak_count,neg,392.80000000,403.68333333,0
peak_count,neg,403.68333333,414.56666667,0
peak_count,neg,414.56666667,425.45000000,0
peak_count,neg,425.45000000,436.33333333,0
peak_count,neg,436.33333333,447.21666667,0
peak_count,neg,447.21666667,458.10000000,0
peak_count,neg,458.10000000,468.98333333,0
peak_count,neg,468.98333333,479.86666667,0
peak_count,neg,479.86666667,490.75000000,1
peak_count,neg,490.75000000,501.63333333,0
peak_count,neg,501.63333333,512.51666667,0
peak_count,neg,512.51666667,523.40000000,0
peak_count,neg,523.40000000,534.28333333,0
peak_count,neg,534.28333333,545.16666667,0
peak_count,neg,545.16666667,556.05000000,0
peak_count,neg,556.05000000,566.93333333,0
peak_count,neg,566.93333333,577.81666667,0
peak_count,neg,577.81666667,588.70000000,0
peak_count,neg,588.70000000,599.58333333,0
peak_count,neg,599.58333333,610.46666667,0
peak_count,neg,610.46666667,621.35000000,0
peak_count,neg,621.35000000,632.23333333,0
peak_count,neg,632.23333333,643.11666667,0
peak_count,neg,643.11666667,654.00000000,0
feature_count,pos,0.00000000,27.58333333,17
feature_count,pos,27.58333333,55.16666667,114
feature_count,pos,55.16666667,82.75000000,32
feature_count,pos,82.75000000,110.33333333,9
feature_count,pos,110.33333333,137.91666667,18
feature_count,pos,137.91666667,165.50000000,35
feature_count,pos,165.50000000,193.08333333,49
feature_count,pos,193.08333333,220.66666667,55
feature_count,pos,220.66666667,248.25000000,63
feature_count,pos,248.25000000,275.83333333,72
feature_count,pos,275.83333333,303.41666667,80
feature_count,pos,303.41666667,331.00000000,85
feature_count,pos,331.00000000,358.58333333,70
feature_count,pos,358.58333333,386.16666667,81
feature_count,pos,386.16666667,413.75000000,100
feature_count,pos,413.75000000,441.33333333,119
feature_count,pos,441.33333333,468.91666667,90
feature_count,pos,468.91666667,496.50000000,92
feature_count,pos,496.50000000,524.08333333,89
feature_count,pos,524.08333333,551.66666667,73
feature_count,pos,551.66666667,579.25000000,65
feature_count,pos,579.25000000,606.83333333,69
feature_count,pos,606.83333333,634.41666667,58
feature_count,pos,634.41666667,662.00000000,40
feature_count,pos,662.00000000,689.58333333,37
feature_count,pos,689.58333333,717.16666667,40
feature_count,pos,717.16666667,744.75000000,27
feature_count,pos,744.75000000,772.33333333,18
feature_count,pos,772.33333333,799.91666667,12
feature_count,pos,799.91666667,827.50000000,11
feature_count,pos,827.50000000,855.08333333,12
feature_count,pos,855.08333333,882.66666667,6
feature_count,pos,882.66666667,910.25000000,12
feature_count,pos,910.25000000,937.83333333,6
feature_count,pos,937.83333333,965.41666667,3
feature_count,pos,965.41666667,993.00000000,15
feature_count,pos,993.00000000,1020.58333333,7
feature_count,pos,1020.58333333,1048.16666667,18
feature_count,pos,1048.16666667,1075.75000000,21
feature_count,pos,1075.75000000,1103.33333333,9
feature_count,pos,1103.33333333,1130.91666667,4
feature_count,pos,1130.91666667,1158.50000000,8
feature_count,pos,1158.50000000,1186.08333333,3
feature_count,pos,1186.08333333,1213.66666667,7
feature_count,pos,1213.66666667,1241.25000000,9
feature_count,pos,1241.25000000,1268.83333333,6
feature_count,pos,1268.83333333,1296.41666667,9
feature_count,pos,1296.41666667,1324.00000000,10
feature_count,pos,1324.00000000,1351.58333333,2
feature_count,pos,1351.58333333,1379.16666667,0
feature_count,pos,1379.16666667,1406.75000000,5
feature_count,pos,1406.75000000,1434.33333333,3
feature_count,pos,1434.33333333,1461.91666667,4
feature_count,pos,1461.91666667,1489.50000000,8
feature_count,pos,1489.50000000,1517.08333333,6
feature_count,pos,1517.08333333,1544.66666667,3
feature_count,pos,1544.66666667,1572.25000000,1
feature_count,pos,1572.25000000,1599.83333333,0
feature_count,pos,1599.83333333,1627.41666667,2
feature_count,pos,1627.41666667,1655.00000000,1
feature_count,neg,0.00000000,27.58333333,170
feature_count,neg,27.58333333,55.16666667,46
feature_count,neg,55.16666667,82.75000000,72
feature_count,neg,82.75000000,110.33333333,117
feature_count,neg,110.33333333,137.91666667,130
feature_count,neg,137.91666667,165.50000000,160
feature_count,neg,165.50000000,193.08333333,137
