sample_id,polarity,path,features,total_peaks,mean_peaks_per_feature
VGF138_A01,neg,.cache/extracted/pf1600_raw/VGF138_A01/neg/VGF138_A01_features_ms2_neg.mgf,759,22582,29.752306
VGF138_A01,pos,.cache/extracted/pf1600_raw/VGF138_A01/pos/VGF138_A01_features_ms2_pos.mgf,902,45161,50.067627
VGF138_A02,neg,.cache/extracted/pf1600_raw/VGF138_A02/neg/VGF138_A02_features_ms2_neg.mgf,205,4675,22.804878
VGF138_A02,pos,.cache/extracted/pf1600_raw/VGF138_A02/pos/VGF138_A02_features_ms2_pos.mgf,306,16836,55.019608
VGF138_A03,neg,.cache/extracted/pf1600_raw/VGF138_A03/neg/VGF138_A03_features_ms2_neg.mgf,222,5899,26.572072
VGF138_A03,pos,.cache/extracted/pf1600_raw/VGF138_A03/pos/VGF138_A03_features_ms2_pos.mgf,462,24966,54.038961
VGF138_A04,neg,.cache/extracted/pf1600_raw/VGF138_A04/neg/VGF138_A04_features_ms2_neg.mgf,222,6432,28.972973
VGF138_A04,pos,.cache/extracted/pf1600_raw/VGF138_A04/pos/VGF138_A04_features_ms2_pos.mgf,439,23353,53.195900
VGF138_A05,neg,.cache/extracted/pf1600_raw/VGF138_A05/neg/VGF138_A05_features_ms2_neg.mgf,162,4620,28.518519
VGF138_A05,pos,.cache/extracted/pf1600_raw/VGF138_A05/pos/VGF138_A05_features_ms2_pos.mgf,620,37669,60.756452
VGF138_A06,neg,.cache/extracted/pf1600_raw/VGF138_A06/neg/VGF138_A06_features_ms2_neg.mgf,205,5654,27.580488
VGF138_A06,pos,.cache/extracted/pf1600_raw/VGF138_A06/pos/VGF138_A06_features_ms2_pos.mgf,463,19412,41.926566
VGF138_A07,neg,.cache/extracted/pf1600_raw/VGF138_A07/neg/VGF138_A07_features_ms2_neg.mgf,292,11148,38.178082
VGF138_A07,pos,.cache/extracted/pf1600_raw/VGF138_A07/pos/VGF138_A07_features_ms2_pos.mgf,306,12525,40.931373
VGF138_A08,neg,.cache/extracted/pf1600_raw/VGF138_A08/neg/VGF138_A08_features_ms2_neg.mgf,297,8953,30.144781
VGF138_A08,pos,.cache/extracted/pf1600_raw/VGF138_A08/pos/VGF138_A08_features_ms2_pos.mgf,531,25369,47.775895
VGF138_A09,neg,.cache/extracted/pf1600_raw/VGF138_A09/neg/VGF138_A09_features_ms2_neg.mgf,42,1012,24.095238
VGF138_A09,pos,.cache/extracted/pf1600_raw/VGF138_A09/pos/VGF138_A09_features_ms2_pos.mgf,157,7596,48.382166
VGF138_A10,neg,.cache/extracted/pf1600_raw/VGF138_A10/neg/VGF138_A10_features_ms2_neg.mgf,266,7906,29.721805
VGF138_A10,pos,.cache/extracted/pf1600_raw/VGF138_A10/pos/VGF138_A10_features_ms2_pos.mgf,476,21545,45.262605
VGF138_A11,neg,.cache/extracted/pf1600_raw/VGF138_A11/neg/VGF138_A11_features_ms2_neg.mgf,152,4466,29.381579
VGF138_A11,pos,.cache/extracted/pf1600_raw/VGF138_A11/pos/VGF138_A11_features_ms2_pos.mgf,400,18705,46.762500
VGF138_A12,neg,.cache/extracted/pf1600_raw/VGF138_A12/neg/VGF138_A12_features_ms2_neg.mgf,10,270,27.000000
VGF138_A12,pos,.cache/extracted/pf1600_raw/VGF138_A12/pos/VGF138_A12_features_ms2_pos.mgf,53,2153,40.622642
VGF138_B01,neg,.cache/extracted/pf1600_raw/VGF138_B01/neg/VGF138_B01_features_ms2_neg.mgf,789,22469,28.477820
VGF138_B01,pos,.cache/extracted/pf1600_raw/VGF138_B01/pos/VGF138_B01_features_ms2_pos.mgf,1015,48922,48.199015
VGF138_B02,neg,.cache/extracted/pf1600_raw/VGF138_B02/neg/VGF138_B02_features_ms2_neg.mgf,342,9193,26.880117
VGF138_B02,pos,.cache/extracted/pf1600_raw/VGF138_B02/pos/VGF138_B02_features_ms2_pos.mgf,500,23119,46.238000
VGF138_B03,neg,.cache/extracted/pf1600_raw/VGF138_B03/neg/VGF138_B03_features_ms2_neg.mgf,116,3121,26.905172
VGF138_B03,pos,.cache/extracted/pf1600_raw/VGF138_B03/pos/VGF138_B03_features_ms2_pos.mgf,310,17211,55.519355
VGF138_B04,neg,.cache/extracted/pf1600_raw/VGF138_B04/neg/VGF138_B04_features_ms2_neg.mgf,289,7494,25.930796
